MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2501", Thicko=0.205"			Time:	150.17505	Sec	11/9/2011 3:15:09 PM
Time	Axial Displacement	Axial Strain	Axial Force
Sec	in	in/in	lbf
7.9147949	0.022842189	0.00102357	917.10364
7.9448242	0.022906957	0.00099916791	918.04559
7.9748535	0.022992609	0.0010082627	923.06757
8.0048828	0.023062773	0.00099883776	925.8421
8.0349121	0.023115339	0.0010122602	929.06909
8.0649414	0.023300488	0.0010360872	932.32617
8.0949707	0.023318557	0.0010304638	934.38959
8.125	0.023471089	0.0010250924	936.80969
8.1550293	0.023453489	0.0010576228	939.08698
8.1850586	0.023659993	0.0010359673	941.33966
8.2150879	0.023757145	0.0010510589	945.26617
8.2451172	0.023858285	0.0010204361	950.17932
8.2751465	0.023997441	0.0010599251	950.71094
8.3051758	0.023996502	0.0010412465	951.20294
8.3352051	0.024112895	0.001067612	953.44543
8.3652344	0.024130965	0.0010684457	956.95184
8.3952637	0.024222951	0.0010632941	959.12207
8.425293	0.024319869	0.0010719184	964.21692
8.4553223	0.024452688	0.0010630324	966.07465
8.4853516	0.024620708	0.0011140901	967.21277
8.5153809	0.024535289	0.001054128	970.63013
8.5454102	0.024746252	0.0011007778	971.68719
8.5754395	0.024818059	0.0010936972	974.91144
8.6054688	0.024907466	0.0011116335	981.31824
8.635498	0.025011189	0.0010925053	980.90723
8.6655273	0.025063518	0.0011029114	985.76807
8.6955566	0.025150109	0.0011176289	987.703
8.7255859	0.025310619	0.0011225577	989.94885
8.7556152	0.025323996	0.0011331857	990.61499
8.7856445	0.025449071	0.0011343496	992.04987
8.8156738	0.025508441	0.0011330851	995.73389
8.8457031	0.025582125	0.0011388607	999.10919
8.8757324	0.025742166	0.0011431285	1003.1041
8.9057617	0.025779009	0.001162392	1006.4976
8.935791	0.025851989	0.001151661	1005.5339
8.9658203	0.025979413	0.0011623198	1009.1215
8.9958496	0.025996542	0.0011782377	1011.7397
9.0258789	0.026146257	0.0011607885	1014.5721
9.0559082	0.026188498	0.0011840687	1018.355
9.0859375	0.026284475	0.0011758084	1019.7933
9.1159668	0.026436068	0.0011768854	1023.6732
9.1459961	0.026477838	0.0012110503	1025.0433
9.1760254	0.026625441	0.0011964486	1025.7424
9.2060547	0.026707575	0.0012242132	1030.2866
9.236084	0.02678642	0.0011784319	1032.1554
9.2661133	0.026899295	0.0012338314	1037.6222
9.2961426	0.026907742	0.0012162937	1040.6104
9.3261719	0.026999731	0.0012176916	1039.495
9.3562012	0.027194737	0.0012179542	1044.4382
9.3862305	0.027290246	0.001239556	1045.0448
9.4162598	0.027295172	0.0012362666	1047.4769
